YEAR;TMAX;TMIN;TMED
1973;13.6;4.4;7
1973;12.3;-0.4;7.4
1973;12;9.5;9.8
1973;15.6;0.7;8.5
1973;15.1;4.9;10.6
1973;17.1;7.5;13.6
1973;15;7.6;11.3
1973;13.2;3;7
1973;15.2;2;8.4
1973;15.7;5;10.6
1973;17.6;5.2;10
1973;16.8;8.9;12.4
1973;17.5;9.6;12.9
1973;17.9;6.5;11.2
1973;17.7;7.5;15.5
1973;15.6;7.2;8.4
1973;13.4;8;9.2
1973;13.6;7;11.2
1973;16;11.6;14.6
1973;17;11.8;13.1
1973;17.4;8.8;10.8
1973;15.7;5.5;10.5
1973;12.2;6.3;8.8
1973;12.1;2;6.6
1973;12.5;0;5.8
1973;12.3;3;8.4
1973;11.9;5.2;8.3
1973;7;2;2.8
1973;6.7;0.5;4.1
1973;13.5;1.2;7.1
1973;14.8;6.7;9.1
1973;13.7;2.2;7.3
1973;12;4;6.4
1973;10.5;2;4.8
1973;9;2;4.2
1973;9.6;0.3;4.6
1973;10.8;4.3;6.2
1973;6.1;0.8;3.7
1973;6.1;0.6;3.5
1973;11.2;4.5;8.1
1973;10.4;3;6.3
1973;9.7;-0.2;3.8
1973;11.8;-1.4;3.9
1973;15.4;3.5;7.8
1973;11;4;6.4
1973;8.9;2.9;5
1973;10.6;-0.4;6.2
1973;11.5;9.7;10.4
1973;13.5;4.1;8.2
1973;14;6.2;7.4
1973;13.7;0.4;6.9
1973;15;2;7.6
1973;12.4;6;8.7
1973;12.7;2;7
1973;10;0.9;4.2
1973;9.9;-0.5;3.8
1973;4.4;2;3.1
1973;6.5;2;4.2
1973;8.3;0;3.6
1973;7.8;3;4.5
1973;9;3.7;6.3
1973;11.1;6.6;8.2
1973;10.1;4.7;5.7
1973;11.6;-0.2;5.4
1973;12;5;8.8
1973;9.9;7.2;8.6
1973;11.9;7.8;9.5
1973;12.7;6.2;8.8
1973;11.9;5;7.2
1973;12.6;1.5;6.9
1973;11.5;4.5;8.9
1973;13.2;6.6;8.6
1973;14;1.7;6.7
1973;15.7;2.2;8.6
1973;15.8;5.7;8.6
1973;15.9;3.3;9
1973;14.5;1.1;7.7
1973;12;6.1;8
1973;14.5;7;8.2
1973;9.6;1.8;4.5
1973;15.7;-1;4.8
1973;9.5;0.3;3.5
1973;10.5;-2.6;3.8
1973;13.7;0;6
1973;15.2;0.8;8.6
1973;8;4.4;4.9
1973;13.4;-1.2;5.6
1973;17.2;4.2;10.3
1973;14.7;9;9.7
1973;12.9;1;5.9
1973;12.3;-2.2;3.8
1973;10.8;-0.1;4.2
1973;10.7;-2.6;3.8
1973;12.4;-0.5;6
